species,symbol,plot,pullDate,yrharv
ACRU,1-1-L,1-LOW,unknown,2010
AEGL,4-M,1-LOW,unknown,2010
AMAR,1-E,1-LOW,unknown,2010
ASTR,1-F,1-LOW,unknown,2010
CATO,1-I,1-LOW,unknown,2010
CEOC,2-D,1-LOW,unknown,2010
COFL,1-E,1-LOW,unknown,2010
DIVI,3-D,1-LOW,unknown,2010
GLTR,1-F,1-LOW,unknown,2010
JUVI,1-I,1-LOW,unknown,2010
PIST,3-2-D,1-LOW,unknown,2010
PLOC,3-2-A,1-LOW,unknown,2010
PRSE/PRVI,3-B,1-LOW,unknown,2010
QUVE,1-B,1-LOW,unknown,2010
ULRU,2-A,1-LOW,unknown,2010
VIVU,1-L,1-LOW,unknown,2010
CEDA,2-D,1-LOW,unknown,2010
CHRY,2-F,1-LOW,unknown,2010
HDMP,2-D,1-LOW,unknown,2010
HICK,1-B,1-LOW,unknown,2010
PINE,3-E,1-LOW,unknown,2010
ROAK,4-B,1-LOW,unknown,2010
ROSE,1-B,1-LOW,unknown,2010
ZEBRA,3-C,1-LOW,unknown,2010
ACRU,3-G,1-HIGH,unknown,2010
AEGL,3-F,1-HIGH,unknown,2010
AMAR,1-A,1-HIGH,unknown,2010
ASTR,4-G,1-HIGH,unknown,2010
CATO,1-D,1-HIGH,unknown,2010
CEOC,1-Y,1-HIGH,unknown,2010
COFL,1-J,1-HIGH,unknown,2010
DIVI,1-J,1-HIGH,unknown,2010
GLTR,2-G,1-HIGH,unknown,2010
JUVI,2-C,1-HIGH,unknown,2010
PIST,2-2-C,1-HIGH,unknown,2010
PLOC,1-1-F,1-HIGH,unknown,2010
PRSE/PRVI,2-A,1-HIGH,unknown,2010
QUVE,2-E,1-HIGH,unknown,2010
ULRU,1-E,1-HIGH,unknown,2010
VIVU,2-2-X,1-HIGH,unknown,2010
CEDA,2-G,1-HIGH,unknown,2010
CHRY,3-I,1-HIGH,unknown,2010
HDMP,1-B,1-HIGH,unknown,2010
HICK,4-E,1-HIGH,unknown,2010
PINE,2-A,1-HIGH,unknown,2010
ROAK,5-E,1-HIGH,unknown,2010
ROSE,2-E,1-HIGH,unknown,2010
ZEBRA,1-E,1-HIGH,unknown,2010
ACRU,4-H,2-LOW,29-May-10,2010
AEGL,3-B,2-LOW,29-May-10,2010
AMAR,2-B,2-LOW,29-May-10,2010
ASTR,2-G,2-LOW,29-May-10,2010
CATO,1-G,2-LOW,29-May-10,2010
CEOC,2-H,2-LOW,29-May-10,2010
COFL,2-A,2-LOW,29-May-10,2010
DIVI,1-E,2-LOW,29-May-10,2010
GLTR,2-P,2-LOW,29-May-10,2010
JUVI,2-K,2-LOW,29-May-10,2010
PIST,1-A,2-LOW,29-May-10,2010
PLOC,2-1-E,2-LOW,29-May-10,2010
PRSE/PRVI,2-H,2-LOW,29-May-10,2010
QUVE,3-A,2-LOW,29-May-10,2010
ULRU,2-F,2-LOW,29-May-10,2010
VIVU,1-K,2-LOW,29-May-10,2010
CEDA,1-C,2-LOW,29-May-10,2010
CHRY,1-F,2-LOW,29-May-10,2010
HDMP,3-C,2-LOW,29-May-10,2010
HICK,3-E,2-LOW,29-May-10,2010
PINE,2-D,2-LOW,29-May-10,2010
ROAK,4-E,2-LOW,29-May-10,2010
ROSE,4-C,2-LOW,29-May-10,2010
ZEBRA,3-E,2-LOW,29-May-10,2010
ACRU,1-1-H,2-HIGH,8-Jul-10,2010
AEGL,3-E,2-HIGH,7-Jul-10,2010
AMAR,1-I,2-HIGH,7-Jul-10,2010
ASTR,2-H,2-HIGH,6-Jul-10,2010
CATO,2-C,2-HIGH,6-Jul-10,2010
CEOC,1-H,2-HIGH,7-Jul-10,2010
COFL,4-G,2-HIGH,6-Jul-10,2010
DIVI,1-F,2-HIGH,08-Jul-10,2010
GLTR,4-G,2-HIGH,6-Jul-10,2010
JUVI,1-X,2-HIGH,8-Jul-10,2010
PIST,2-1-D,2-HIGH,7-Jul-10,2010
PLOC,1-1-C,2-HIGH,8-Jul-10,2010
PRSE/PRVI,3-D,2-HIGH,6-Jul-10,2010
QUVE,2-F,2-HIGH,6-Jul-10,2010
ULRU,2-M,2-HIGH,7-Jul-10,2010
VIVU,3-A,2-HIGH,7-Jul-10,2010
CEDA,2-H,2-HIGH,unknown,2010
CHRY,3-G,2-HIGH,unknown,2010
HDMP,1-A,2-HIGH,unknown,2010
HICK,1-D,2-HIGH,unknown,2010
PINE,1-F,2-HIGH,unknown,2010
ROAK,1-E,2-HIGH,unknown,2010
ROSE,1-H,2-HIGH,unknown,2010
ZEBRA,3-B,2-HIGH,unknown,2010
ACRU,4-D,3-LOW,1-Jul-10,2010
AEGL,4-I,3-LOW,2-Jul-10,2010
AMAR,1-D,3-LOW,30-Jun-10,2010
ASTR,4-I,3-LOW,1-Jul-10,2010
CATO,2-J,3-LOW,30-Jun-10,2010
CEOC,1-X,3-LOW,30-Jun-10,2010
COFL,1-C,3-LOW,1-Jul-10,2010
DIVI,1-I,3-LOW,1-Jul-10,2010
GLTR,3-D,3-LOW,6-Jul-10,2010
JUVI,1-D,3-LOW,2-Jul-10,2010
PIST,1-F,3-LOW,30-Jun-10,2010
PLOC,1-2-A,3-LOW,6-Jul-10,2010
PRSE/PRVI,1-X,3-LOW,30-Jun-10,2010
QUVE,3-E,3-LOW,2-Jul-10,2010
ULRU,2-B,3-LOW,2-Jul-10,2010
VIVU,2-2-A,3-LOW,2-Jul-10,2010
CEDA,1-F,3-LOW,unknown,2010
CHRY,1-H,3-LOW,unknown,2010
HDMP,1-C,3-LOW,unknown,2010
HICK,2-C,3-LOW,unknown,2010
PINE,2-G,3-LOW,unknown,2010
ROAK,3-C,3-LOW,unknown,2010
ROSE,2-H,3-LOW,unknown,2010
ZEBRA,1-A,3-LOW,unknown,2010
ACRU,1-1-M,3-HIGH,29-Jun-10,2010
AEGL,4-J,3-HIGH,25-Jun-10,2010
AMAR,2-C,3-HIGH,30-Jun-10,2010
ASTR,4-F,3-HIGH,28-Jun-10,2010
CATO,2-D,3-HIGH,30-Jun-10,2010
CEOC,1-K,3-HIGH,28-Jun-10,2010
COFL,1-G,3-HIGH,25-Jun-10,2010
DIVI,1-D,3-HIGH,29-Jun-10,2010
GLTR,3-E,3-HIGH,30-Jun-10,2010
JUVI,2-B,3-HIGH,30-Jun-10,2010
PIST,2-1-F,3-HIGH,30-Jun-10,2010
PLOC,2-2-H,3-HIGH,25-Jun-10,2010
PRSE/PRVI,3-C,3-HIGH,28-Jun-10,2010
QUVE,4-A,3-HIGH,29-Jun-10,2010
ULRU,1-F,3-HIGH,29-Jun-10,2010
VIVU,1-G,3-HIGH,29-Jun-10,2010
CEDA,1-H,3-HIGH,unknown,2010
CHRY,1-B,3-HIGH,unknown,2010
HDMP,2-A,3-HIGH,unknown,2010
HICK,3-F,3-HIGH,unknown,2010
PINE,2-E,3-HIGH,unknown,2010
ROAK,1-D,3-HIGH,unknown,2010
ROSE,2-D,3-HIGH,unknown,2010
ZEBRA,1-H,3-HIGH,unknown,2010
ACRU,1-1-S,4-LOW,23-Jun-10,2010
AEGL,3-J,4-LOW,24-Jun-10,2010
AMAR,3-A,4-LOW,23-Jun-10,2010
ASTR,2-A,4-LOW,22-Jun-10,2010
CATO,3-C,4-LOW,23-Jun-10,2010
CEOC,2-A,4-LOW,24-Jun-10,2010
COFL,2-E,4-LOW,22-Jun-10,2010
DIVI,1-G,4-LOW,24-Jun-10,2010
GLTR,3-B,4-LOW,22-Jun-10,2010
JUVI,4-F,4-LOW,23-Jun-10,2010
PIST,2-2-E,4-LOW,24-Jun-10,2010
PLOC,3-1-A,4-LOW,24-Jun-10,2010
PRSE/PRVI,1-F,4-LOW,22-Jun-10,2010
QUVE,3-C,4-LOW,22-Jun-10,2010
ULRU,2-F,4-LOW,23-Jun-10,2010
VIVU,1-B,4-LOW,24-Jun-10,2010
CEDA,4-B,4-LOW,unknown,2010
CHRY,3-H,4-LOW,unknown,2010
HDMP,2-G,4-LOW,unknown,2010
HICK,2-D,4-LOW,unknown,2010
PINE,4-B,4-LOW,unknown,2010
ROAK,3-A,4-LOW,unknown,2010
ROSE,3-H,4-LOW,unknown,2010
ZEBRA,4-G,4-LOW,unknown,2010
ACRU,1-1-F,4-HIGH,unknown,2010
AEGL,4-L,4-HIGH,22-Jun-10,2010
AMAR,2-D,4-HIGH,unknown,2010
ASTR,3-E,4-HIGH,unknown,2010
CATO,1-K,4-HIGH,unknown,2010
CEOC,2-C,4-HIGH,unknown,2010
COFL,1-F,4-HIGH,unknown,2010
DIVI,3-E,4-HIGH,unknown,2010
GLTR,4-D,4-HIGH,unknown,2010
JUVI,4-D,4-HIGH,22-Jun-10,2010
PIST,2-1-G,4-HIGH,21-Jun-10,2010
PLOC,1-2-C,4-HIGH,21-Jun-10,2010
PRSE/PRVI,1-E,4-HIGH,21-Jun-10,2010
QUVE,5-A,4-HIGH,unknown,2010
ULRU,3-P,4-HIGH,21-Jun-10,2010
VIVU,1-N,4-HIGH,21-Jun-10,2010
CEDA,1-E,4-HIGH,unknown,2010
CHRY,4-A,4-HIGH,unknown,2010
HDMP,3-G,4-HIGH,unknown,2010
HICK,4-A,4-HIGH,unknown,2010
PINE,2-F,4-HIGH,unknown,2010
ROAK,1-G,4-HIGH,unknown,2010
ROSE,3-I,4-HIGH,unknown,2010
ZEBRA,4-E,4-HIGH,unknown,2010
