Species,Symbol,Plot,Pull date,Picture ID,Fruiting bodies (y/n),Fungal ID,Wet weight excess (g),Wet weight log (g),Post-drill wet weight (g),Dry mass (total) (g),Dry mass for volume (g),Volume (kg),Absorption (- kg),Date removed from oven,Notes
ACRU,4-G,1-L,6/3/2014,A1,y,Irpex?,2.6,617.13,605.93,255.81,252.67,0.975,0.0585,6/6/2014,
AEGL,3-D,1-L,6/3/2014,B1,n,NA,6.31,231.25,225.86,78.06,72.22,0.312,0.014,6/6/2014,
AMAR,2-G,1-L,6/3/2014,C1,n,NA,13.88,274.28,249.91,122,4.33,0.1,0.0045,6/6/2014,
ASTR,2-D,1-L,6/3/2014,D1,n,NA,0,142.34,137.53,88.15,87.8,0.261,0.01,6/6/2014,
CATO,2-B,1-L,6/3/2014,E1,y,UNK,5.82,337.72,324.33,154.52,144.7,0.3725,0.102,6/6/2014,
CEOC,2-B,1-L,6/3/2014,F1,n,NA,6.45,360.74,342.88,78.7,75.64,0.285,0.101,6/6/2014,
CEOC2,3-O,1-L,6/2/2014,G1,n,NA,1.26,293.4,287.36,137.09,137.09,0.395,0.032,6/5/2014,
COFL,3-D,1-L,6/3/2014,H1,n,NA,0,672.6,663.01,376.04,376.04,0.82,0.047,6/6/2014,
DIVI,2-H,1-L,6/3/2014,I1,n,NA,0,21.45,16.94,5.46,1.98,0.0075,0.0015,6/6/2014,
FRAM,1-G,1-L,6/2/2014,J1,n,NA,0,576.29,570.26,393.71,393.24,0.687,0.0235,6/5/2014,
GLTR,4-K,1-L,6/3/2014,K1,n,NA,1.83,243.11,235.13,75.73,74.29,0.305,0.0405,6/6/2014,
JUNI,2-I,1-L,6/2/2014,L1,y,T. versicolor,0,538.85,531.69,177.2,177.2,0.596,0.0485,6/5/2014,
JUVI,4-G,1-L,6/3/2014,M1,n,NA,0,299.17,294.65,233.05,233.05,0.43,0.0195,6/6/2014,
JUVI2,4-G,1-L,6/2/2014,N1,n,NA,0.13,434.53,430.68,354.1,354.1,0.637,0.022,6/5/2014,
LOMA,4-C,1-L,6/2/2014,O1,n,NA,1.34,389.69,384.06,280.61,280.61,0.429,0.028,6/5/2014,
PIEC,1-C,1-L,6/2/2014,P1,n,NA,0.61,765.01,759.13,363.73,363.73,0.68,0.024,6/5/2014,
PIST,1-H,1-L,6/3/2014,Q1,n,NA,0,360.33,355.52,156.81,156.81,0.4015,0.0885,6/6/2014,
PLOC,3-1-H,1-L,6/3/2014,R1,n,NA,40.23,153.93,145.42,26.27,12.94,0.075,0.063,6/6/2014,
PRSE/PRVI,1-D,1-L,6/3/2014,S1,n,NA,49.06,541.49,529.6,297.38,262.49,0.53,0.1365,6/6/2014,
QUAL,2-A,1-L,6/2/2014,T1,y,Stereum,17.77,602.53,596.86,373.17,368.18,0.846,0.0445,6/5/2014,
QUVE,4-C,1-L,6/3/2014,U1,n,NA,0,186.08,178.44,109.57,99.48,0.256,0.008,6/6/2014,
QUVE2,1-K,1-L,6/2/2014,V1,y,UNK,0.2,525.38,514.64,202.84,176.65,0.392,0.026,6/5/2014,"red, puffs spores when touched, slime mold?"
ULRU,3-B,1-L,6/3/2014,W1,n,NA,0,546.09,538,251.24,251.24,0.618,0.0275,6/6/2014,
VIVU,2-H,1-L,6/3/2014,X1,y,Irpex?,3.52,125.22,121.04,54.86,42.44,0.099,0.015,6/6/2014,
CEOC2-b,2-N,1-L,6/3/2014,,n,NA,20.97,342.34,332.71,119.39,106.67,0.36,0.041,6/6/2014,
FRAM-b,3-C,1-L,6/3/2014,,n,NA,0,618.77,611.93,448.21,448.21,0.731,0.0235,6/6/2014,
JUNI-b,1-Q,1-L,6/3/2014,,n,NA,0,232.08,228.13,139.93,139.93,0.329,0.0225,6/6/2014,
