Species,Symbol,Plot,Pull date,Length (cm),Diameter X (TB/SS) (mm),Diameter Y (TB/SS) (mm),Wet Weight log,Wet weight excess,Post Drill Wet Weight,Volume,Mass after volume,Dry weight,Insect Damage (Y/N),Damage Assessment (0-4),Fungal fruiting bodies (Y/N),Picture time,Penetrometer depth (mm),Penetrometer hits,MCT Rack Placement,Insect Identification,Fungal identification,Date placed in Oven,Date removed from Oven,Notes:,Date removed from Oven
ACRU,1-1-K,1-L,6/6/2012,20.60,68.51/84.31,55.05/79.15,352.53,1.94,345.39,0.6,0.1755,112.43,y,3,y,"11:17, 11:21",79.15,1,,,T. versicolor or similar (old w/algae),6/6/2012,6/11/12,Many more insects observed than in other logs; old T. versicolor fruiting bodies collected,6/11/12
AEGL,4-C,1-L,6/6/2012,21.20,51.17/44.79,47.88/44.34,103.74,6.33,99.04,0.29,0.016,64.27,y,3,n,,44.34,13,,,,6/6/2012,6/11/12,Animal damage and several large insect exit holes,6/11/12
AMAR,3-I,1-L,6/5/2012,21.50,49.17/50.13,47.68/46.89,290.65,0.23,282.83,0.39,0.019,207.73,y,3,n,,15.18,20,,,,6/5/2012,6/8/12,Only four insect damage holes but they were deep (5-10 mm).,6/8/12
ASTR,4-D,1-L,6/5/2012,22.60,69.91/66.98,69.60/66.52,428.13,9.23,418.76,0.8,0.03,306.04,y,3,y,11:58,26.67,20,,,,6/5/2012,6/8/12,Single fruiting body (Punctularia strigosozonata-esque) photographed but not collected; fair amount of bark sloughed off,6/8/12
CATO,1-F,1-L,6/6/2012,20.80,58.06/62.37,63.6/68.55,300.29,30.46,285.43,0.52,0.0565,152.32,y,2,y,"9:55, 9:56, 9:56",62.37,11,,,Marasmius/Mycena sp?,6/6/2012,6/11/12,"~35 ants found, collected as many different morphotypes as possible. Two fruiting bodies with orange caps found; one on log and one on unattached bark. The latter was collected.",6/11/12
CEOC,3-J,1-L,6/5/2012,21.80,77.91/70.01,73.38/75.6,397.31,15.58,390.33,0.85,0.0235,279.14,y,2,y,"11:38, 11:41",47.24,20,,,,6/5/2012,6/8/12,Most bark falling off; old dry fruiting bodies photographed but not collected; some white mycelium and rhizomorphs on surface,6/8/12
CEOC2,2-O,1-L,6/6/2012,22.00,48.12/53.92,49.95/51.86,249.53,0,244.2,0.42,0.015,185.05,n,0,y,10:11,22.1,20,,,,6/6/2012,6/11/12,Very small black fruiting bodies emerging from beneath bark.,6/11/12
COFL,1-I,1-L,6/6/2012,20.80,57.32/55.47,59.50/58.68,263.11,6.49,256.64,0.53,0.039,168.53,y,1,n,11:38,41.82,20,,,,6/6/2012,6/11/12,Mycelial mat photographed but not collected.,6/11/12
DIVI,3-L,1-L,6/5/2012,21.80,50.56/47.12,45.01/47.31,187.47,0.54,180.51,0.32,0.032,103.72,y,1,y," 13:00, 13:13, 13:15",47.12,11,,,,6/5/2012,6/8/12,Collected porous and white corticioid fruiting body with large irregular pores (photo 13:11); collected small fruiting body that is probably young Trametes versicolor,6/8/12
FRAM,2-M,1-L,6/6/2012,22.00,55.01/52.34,56.98/58.18,388.96,0,382.05,0.46,0.012,283.64,y,1,n,,12.47,20,,,,6/6/2012,6/11/12,,6/11/12
GLTR,4-B,1-L,6/7/2012,20.30,85.45/84.32,84.52/76.09,537.59,0,528.75,0.99,0.0445,329.1,y,3,y,"10:18, 10:20",37.78,20,,,,6/7/2012,6/11/12,Dried out orange jelly fungus and small mauve crust fungus were not collected. Severe insect damage to one side of log.,6/11/12
JUNI,1-H,1-L,6/6/2012,22.40,66.45/64.49,63.81/62.50,513.82,0,507.8,0.75,0.0215,355.1,y,2,y,"10:52, 10:55",9.39,20,,,Schizophyllum or Plicaturopsis,6/6/2012,6/11/12,Small Schizophyllum/Plicaturopsis sp. on both ends of log; soft purple crust fungus on bark,6/11/12
JUVI,4-B,1-L,6/6/2012,21.40,59.14/67.19,61.29/64.23,425.53,7.72,418.83,0.63,0.0155,329.35,y,1,n,,9.71,20,,,,6/6/2012,6/11/12,,6/11/12
JUVI2,5-D,1-L,6/7/2012,22.70,63.49/63.79,64.62/63.07,478.23,0,472.87,0.73,0.018,366.46,y,2,n,,19.46,20,,,,6/7/2012,6/11/12,,6/11/12
LOMA,10-D,1-L,6/7/2012,21.70,61.01/63.49,64.96/68.34,596.96,0,586.89,0.66,0.0225,408.24,n,0,n,,9.31,20,,,,6/7/2012,6/11/12,,6/11/12
PIEC,3-F,1-L,6/7/2012,22.20,49.29/53.16,54.22/42.41,259.05,0,253.48,0.46,0.0285,176.02,n,0,y,10:15,29.82,20,,,,6/7/2012,6/11/12,Dried out beige corticioid fruiting body not collected,6/11/12
PIST,3-2-C,1-L,6/5/2012,21.80,70.32/71.36,67.72/65.38,482.89,5.59,476.83,0.73,0.074,249.39,y,2,y,12:39,23.09,20,,,,6/5/2012,6/8/12,,6/8/12
PLOC,1-1-D,1-L,6/5/2012,21.90,63.14/61.14,54.38/68.92,323.48,9.54,290,0.45,0.073,139.54,y,3,n,12:22,61.14,5,,,,6/5/2012,6/8/12,"Fungal mass in photograph determined microscopically to be  mycelial mats, not corticioid fruiting bodies; CHANGED damage assessment due to rethinking of extent of insect/fungal damage.",6/8/12
PRSE/PRVI,1-L,1-L,6/6/2012,20.70,74.26/83.11,70.37/72.98,493.33,0.32,482.05,0.86,0.051,294.05,n,0,n,"10:41, 10:43",30.9,20,,,,6/6/2012,6/11/12,Photos of mycelial mats on bark,6/11/12
QUAL,6-H,1-L,6/6/2012,22.00,71.00/78.65,77.95/70.70,698.5,0.23,688.72,0.96,0.0245,511.45,y,1,y,10:21,16.77,20,,,,6/6/2012,6/11/12,,6/11/12
QUVE,5-I,1-L,6/5/2012,24.00,74.19/72.53,71.99/78.61,665.12,0.2,657.06,0.91,0.042,397.46,n,0,n,,*18,*20,,,,6/5/2012,6/8/12,Bark almost totally intact; evidence of one animal bite; some mycelium may be beginning to form fruiting bodies but this growth was not developed enough to photograph. *penetrometer data was entered into QUAL 2-B before Qual was actually measured on June 8.,6/8/12
QUVE2,1-C,1-L,6/6/2012,22.30,73.47/81.54,76.47/79.19,767.52,0.02,756.4,0.96,0.28,542.53,n,0,y,10:30,18.51,20,,,,6/6/2012,6/11/12,Small beige crustlike fruiting bodies emerging from ends of log and from beneath bark; not collected.,6/11/12
ULRU,3-D,1-L,6/6/2012,21.10,69.05/72.38,74.14/77.59,602.89,24.62,595.75,0.82,0.0185,426.9,y,2,y,,11.61,20,,,,6/6/2012,6/11/12,White crust fungus and small purple corticioid fungus on one end; neither was collected.,6/11/12
VIVU,1-I,1-L,6/5/2012,21.00,43.38/41.41,76.21/56.69,278.44,13.09,265.05,0.34,0.0445,95.37,y,2,n,,41.41,6,,,,6/5/2012,6/8/12,,6/8/12
CEDA,1-G,1-L,6/5/2012,,,,,,,,,277.15,,,,,,,,,,6/25/2012,6/29/2012,,
CHRY,2-J,1-L,6/5/2012,,,,,,,,,323.47,,,,,,,,,,6/25/2012,6/29/2012,,
HDMP,3-F,1-L,6/5/2012,,,,,,,,,250.41,,,,,,,,,,6/25/2012,6/29/2012,,
HICK,4-G,1-L,6/5/2012,,,,,,,,,464.07,,,,,,,,,,6/25/2012,6/29/2012,,
PINE,1-B,1-L,6/5/2012,,,,,,,,,245.84,,,,,,,,,,6/25/2012,6/29/2012,,
ROAK,4-A,1-L,6/5/2012,,,,,,,,,331.6,,,,,,,,,,6/25/2012,6/29/2012,,
ROSE,3-G,1-L,6/5/2012,,,,,,,,,539.55,,,,,,,,,,6/25/2012,6/29/2012,,
ZEBRA,4-B,1-L,6/5/2012,,,,,,,,,339.29,,,,,,,,,,6/25/2012,6/29/2012,,
