Barcode	Sample	16S	ITS	LSU
Alpha1	A5tz	1658	112	1387
Alpha2	A5bz	40	1	1286
Alpha3	B5tz	1253	986	945
Alpha4	B5bz	1165	828	732
Alpha5	C5tz	272	761	2124
Alpha6	C5bz	3	1	36
Alpha7	D5tz	1971	1091	1313
Alpha8	D5bz	1231	12	1987
Alpha9	E5tz	8098	1142	1770
Alpha10	E5bz	7311	658	1767
Alpha11	F5tz	1978	2782	1451
Alpha12	F5bz	1442	2255	1926
Alpha13	G5tz	1856	2210	1448
Alpha14	G5bz	1822	1457	1898
Alpha15	H5tz	7	473	2122
Alpha16	H5bz	8	8	16
Alpha17	I5tz	13267	4	1366
Alpha18	I5bz	14495	1403	1555
Alpha19	J5tz	1522	497	955
Alpha20	J5bz	1309	1399	1540
Alpha21	K5tz	2731	5	11
Alpha22	K5bz	2240	1174	2171
Alpha23	L5tz	4	6	3
Alpha24	L5bz	11	0	6
Alpha25	M5tz	11705	1728	17910
Alpha26	M5bz	9441	273	27
Alpha27	N5tz	9831	10410	11585
Alpha28	N5bz	15442	1028	14129
Alpha29	O5tz	16233	13762	10844
Alpha30	O5bz	12389	3456	5586
Alpha31	P5tz	16771	13765	6450
Alpha32	P5bz	18097	89	8466
Alpha33	Q5tz	31919	1162	11979
Alpha34	Q5bz	17814	7611	6268
Alpha35	R5tz	45	12340	69
Alpha36	R5bz	9508	6827	8691
Alpha37	S5tz	18671	6193	6993
Alpha38	S5bz	19010	7857	9019
Alpha39	T5tz	13	29	32
Alpha40	T5bz	24	21	42
Alpha41	U5tz	53	9012	4048
Alpha42	U5bz	43	1591	5165
Alpha43	V5tz	10629	9323	9146
Alpha44	V5bz	21	13978	7980
Alpha45	W5tz	14550	8322	8374
Alpha46	W5bz	3639	11489	12472
Alpha47	X5tz	19366	9088	7101
Alpha48	X5bz	17957	5818	7076
Bravo49	A7tz	14109	10185	9341
Bravo50	A7bz	19081	8224	11125
Bravo51	B7tz	29742	2954	12272
Bravo52	B7bz	29868	7661	12736
Bravo53	C7tz	31758	4952	13525
Bravo54	C7bz	21648	87	5033
Bravo55	D7tz	14749	63	29594
Bravo56	D7bz	20491	71	19439
Bravo57	E7tz	39274	42610	8428
Bravo58	E7bz	12851	10956	9776
Bravo59	F7tz	16109	15355	14879
Bravo60	F7bz	21533	180221	16275
Bravo61	G7tz	20151	19505	18349
Bravo62	G7bz	11995	9582	9868
Bravo63	H7tz	45	625	60
Bravo64	H7bz	20548	1023	7571
Bravo65	I7tz	18468	7663	15078
Bravo66	I7bz	17481	155	3837
Bravo67	J7tz	17790	2980	16510
Bravo68	J7bz	22448	298	3905
Bravo69	K7tz	17948	13459	14153
Bravo70	K7bz	16276	2645	3139
Bravo71	L7tz	32	26	40
Bravo72	L7bz	18	36	40
Bravo73	M7tz	10364	8678	5236
Bravo74	M7bz	12604	1151	13700
Bravo75	N7tz	14385	638	9279
Bravo76	N7bz	13529	2093	12110
Bravo77	O7tz	11957	11941	8607
Bravo78	O7bz	11641	7410	6961
Bravo79	P7tz	15341	40	3152
Bravo80	P7bz	10968	1062	4454
Bravo81	Q7tz	9609	13823	4592
Bravo82	Q7bz	12391	16195	5003
Bravo83	R7tz	53	73	72
Bravo84	R7bz	20307	16313	17242
Bravo85	S7tz	13241	10471	10564
Bravo86	S7bz	20037	10692	6968
Bravo87	T7tz	16040	256008	12015
Bravo88	T7bz	5581	29251	16768
Bravo89	U7tz	43	4552	11085
Bravo90	U7bz	37	713	7259
Bravo91	V7tz	29	3295	10135
Bravo92	V7bz	20	9021	9629
Bravo93	W7tz	16	8580	8785
Bravo94	W7bz	30	90	573
Bravo95	X7tz	13	9513	11588
Bravo96	X7bz	7	5856	11510
Charlie97	A1tz	19790	11969	12418
Charlie98	A1bz	21906	13002	2114
Charlie99	B1tz	33635	11615	7653
Charlie100	B1bz	17631	8958	6857
Charlie101	C1tz	17043	6530	10096
Charlie102	C1bz	14981	9548	8347
Charlie103	D1tz	29737	8208	10934
Charlie104	D1bz	19632	9799	9472
Charlie105	E1tz	10858	15321	11712
Charlie106	E1bz	16294	16942	11599
Charlie107	F1tz	18848	10882	14687
Charlie108	F1bz	19044	10451	9728
Charlie109	G1tz	13940	11294	13936
Charlie110	G1bz	20963	8178	11525
Charlie111	H1tz	21059	7875	11087
Charlie112	H1bz	20843	10808	48722
Charlie113	I1tz	35112	10058	12284
Charlie114	I1bz	67	31	9417
Charlie115	J1tz	26310	20156	9850
Charlie116	J1bz	58958	23951	9402
Charlie117	K1tz	19851	23005	12350
Charlie118	K1bz	24539	9820	15072
Charlie119	L1tz	63	12863	7807
Charlie120	L1bz	14	9239	10664
Charlie121	M1tz	37226	4054	6753
Charlie122	M1bz	14985	5887	14903
Charlie123	N1tz	27829	2977	12640
Charlie124	N1bz	13480	5762	6450
Charlie125	O1tz	16916	1492	6676
Charlie126	O1bz	10793	2821	8287
Charlie127	P1tz	26776	11325	7636
Charlie128	P1bz	37668	5227	7293
Charlie129	Q1tz	15031	29971	27997
Charlie130	Q1bz	26641	8460	10964
Charlie131	R1tz	16957	10184	9055
Charlie132	R1bz	20750	70556	9133
Charlie133	S1tz	19958	55423	9438
Charlie134	S1bz	18510	9552	8740
Charlie135	T1tz	14050	7097	29402
Charlie136	T1bz	30738	49675	7119
Charlie137	U1tz	50945	21801	21989
Charlie138	U1bz	45292	13395	7573
Charlie139	V1tz	25052	7477	6971
Charlie140	V1bz	22850	9138	8255
Charlie141	W1tz	21671	8221	11430
Charlie142	W1bz	24143	8453	12495
Charlie143	X1tz	18430	12938	8038
Charlie144	X1bz	13966	18838	7285
Delta145	A3tz	60	8555	13782
Delta146	A3bz	21314	3581	7484
Delta147	B3tz	37	8472	10789
Delta148	B3bz	22516	4606	7169
Delta149	C3tz	21643	5941	8385
Delta150	C3bz	14720	3574	9466
Delta151	D3tz	15248	2137	8701
Delta152	D3bz	54	29	11851
Delta153	E3tz	22963	8924	11836
Delta154	E3bz	14430	6747	9072
Delta155	F3tz	29883	10229	8101
Delta156	F3bz	21197	6309	7925
Delta157	G3tz	25495	9037	13179
