species4,family,genus,species,binomial,plank,notes,angio.gymno
ACRU,Sapindaceae,Acer,rubrum,Acer_rubrum,no,NA,Angiosperm
AEGL,Sapindaceae,Aesculus,glabra,Aesculus_glabra,no,NA,Angiosperm
AMAR,Rosaceae,Amelanchier,arborea,Amelanchier_arborea,no,NA,Angiosperm
ASTR,Annonaceae,Asimina,triloba,Asimina_triloba,no,NA,Angiosperm
CATO,Juglandaceae,Carya,tomentosa,Carya_tomentosa,no,NA,Angiosperm
CEOC,Cannabaceae,Celtis,occidentalis,Celtis_occidentalis,no,NA,Angiosperm
COFL,Cornaceae,Cornus,florida,Cornus_florida,no,NA,Angiosperm
DIVI,Ebenaceae,Diospyros,virginiana,Diospyros_virginiana,no,NA,Angiosperm
FRAM,Oleaceae,Fraxinus,americana,Fraxinus_americana,no,NA,Angiosperm
GLTR,Fabaceae,Gleditsia,triacanthos,Gleditsia_triacanthos,no,NA,Angiosperm
JUNI,Juglandaceae,Juglans,nigra,Juglans_nigra,no,NA,Angiosperm
JUVI,Cupressaceae,Juniperus,virginiana,Juniperus_virginiana,no,NA,Gymnosperm
LOMA,Caprifoliaceae,Lonicera,maackii,Lonicera_maackii,no,NA,Angiosperm
PIEC,Pinaceae,Pinus,echinata,Pinus_echinata,no,NA,Gymnosperm
PIST,Pinaceae,Pinus,strobus,Pinus_strobus,no,NA,Gymnosperm
PLOC,Platanaceae,Platanus,occidentalis,Platanus_occidentalis,no,NA,Angiosperm
PRSE/PRVI,Rosaceae,Prunus,serotina,Prunus_serotina,no,NA,Angiosperm
QUAL,Fagaceae,Quercus,alba,Quercus_alba,no,NA,Angiosperm
QUVE,Fagaceae,Quercus,velutina,Quercus_velutina,no,NA,Angiosperm
ULRU,Ulmaceae,Ulmus,rubra,Ulmus_rubra,no,NA,Angiosperm
VIVU,Vitaceae,Vitus,vulpina,Vitus_vulpina,no,NA,Angiosperm
CEDA,NA,NA,NA,NA,yes,cedar,
CHRY,NA,NA,NA,NA,yes,cherry,
HDMP,NA,NA,NA,NA,yes,NA,
HICK,NA,NA,NA,NA,yes,hickory,
PINE,NA,NA,NA,NA,yes,pine,
ROAK,NA,NA,NA,NA,yes,red oak,
ROSE,NA,NA,NA,NA,yes,NA,
ZEBRA,NA,NA,NA,NA,yes,zebra wood,
