"sampleName","yrharv","gene","Barcode","logid","logmicrobid","logLoc","rep_code","plot","symbol","logtrt","yrdeploy","pullDate","bag"
"A1b",2012,"16S","Charlie98",2,3,"b","z",1,"1-1-K","A",2009,"6/6/2012",NA
"A1t",2012,"16S","Charlie97",2,1,"t","z",1,"1-1-K","A",2009,"6/6/2012",NA
"A2b",2012,"16S","Golf290",98,111,"b","z",2,"4-B","A",2009,"6/8/2012",NA
"A2t",2012,"16S","Golf289",98,109,"t","z",2,"4-B","A",2009,"6/8/2012",NA
"A3b",2012,"16S","Delta146",194,222,"b","z",3,"4-E","A",2009,"6/19/2012",NA
"A3t",2012,"16S","Delta145",194,220,"t","z",3,"4-E","A",2009,"6/19/2012",NA
"A4b",2012,"16S","Hotel338",290,332,"b","z",4,"1-1-A","A",2009,"6/20/2012",NA
"A4t",2012,"16S","Hotel337",290,330,"t","z",4,"1-1-A","A",2009,"6/20/2012",NA
"A5b",2012,"16S","Alpha2",386,443,"b","z",5,"1-1-C","A",2009,"6/18/2012",NA
"A5t",2012,"16S","Alpha1",386,441,"t","z",5,"1-1-C","A",2009,"6/18/2012",NA
"A6b",2012,"16S","Echo194",482,552,"b","z",6,"4-F","A",2009,"6/14/2012",NA
"A6t",2012,"16S","Echo193",482,550,"t","z",6,"4-F","A",2009,"6/14/2012",NA
"A7b",2012,"16S","Bravo50",578,664,"b","z",7,"3-F","A",2009,"6/12/2012",NA
"A7t",2012,"16S","Bravo49",578,662,"t","z",7,"3-F","A",2009,"6/12/2012",NA
"A8b",2012,"16S","Foxtrot242",674,772,"b","z",8,"4-C","A",2009,"6/11/2012",NA
"A8t",2012,"16S","Foxtrot241",674,770,"t","z",8,"4-C","A",2009,"6/11/2012",NA
"B1b",2012,"16S","Charlie100",5,7,"b","z",1,"4-C","B",2009,"6/6/2012",NA
"B1t",2012,"16S","Charlie99",5,5,"t","z",1,"4-C","B",2009,"6/6/2012",NA
"B2b",2012,"16S","Golf292",101,115,"b","z",2,"4-K","B",2009,"6/8/2012",NA
"B2t",2012,"16S","Golf291",101,113,"t","z",2,"4-K","B",2009,"6/8/2012",NA
"B3b",2012,"16S","Delta148",197,226,"b","z",3,"3-X","B",2009,"6/19/2012",NA
"B3t",2012,"16S","Delta147",197,224,"t","z",3,"3-X","B",2009,"6/19/2012",NA
"B4b",2012,"16S","Hotel340",293,336,"b","z",4,"4-F","B",2009,"6/20/2012",NA
"B4t",2012,"16S","Hotel339",293,334,"t","z",4,"4-F","B",2009,"6/20/2012",NA
"B5b",2012,"16S","Alpha4",389,447,"b","z",5,"3-G","B",2009,"6/18/2012",NA
"B5t",2012,"16S","Alpha3",389,445,"t","z",5,"3-G","B",2009,"6/18/2012",NA
"B6b",2012,"16S","Echo196",485,556,"b","z",6,"1-I","B",2009,"6/14/2012",NA
"B6t",2012,"16S","Echo195",485,554,"t","z",6,"1-I","B",2009,"6/14/2012",NA
"B7b",2012,"16S","Bravo52",581,668,"b","z",7,"4-E","B",2009,"6/12/2012",NA
"B7t",2012,"16S","Bravo51",581,666,"t","z",7,"4-E","B",2009,"6/12/2012",NA
"B8b",2012,"16S","Foxtrot244",677,776,"b","z",8,"3-C","B",2009,"6/11/2012",NA
"B8t",2012,"16S","Foxtrot243",677,774,"t","z",8,"3-C","B",2009,"6/11/2012",NA
"C1b",2012,"16S","Charlie102",8,10,"b","z",1,"3-I","C",2009,"6/5/2012",NA
"C1t",2012,"16S","Charlie101",8,9,"t","z",1,"3-I","C",2009,"6/5/2012",NA
"C2b",2012,"16S","Golf294",104,119,"b","z",2,"3-B","C",2009,"6/7/2012",NA
"C2t",2012,"16S","Golf293",104,117,"t","z",2,"3-B","C",2009,"6/7/2012",NA
"C3b",2012,"16S","Delta150",200,230,"b","z",3,"3-E","C",2009,"6/19/2012",NA
"C3t",2012,"16S","Delta149",200,228,"t","z",3,"3-E","C",2009,"6/19/2012",NA
"C4b",2012,"16S","Hotel342",296,340,"b","z",4,"2-I","C",2009,"6/20/2012",NA
"C4t",2012,"16S","Hotel341",296,338,"t","z",4,"2-I","C",2009,"6/20/2012",NA
"C5b",2012,"16S","Alpha6",392,451,"b","z",5,"1-F","C",2009,"6/18/2012",NA
"C5t",2012,"16S","Alpha5",392,449,"t","z",5,"1-F","C",2009,"6/18/2012",NA
"C6b",2012,"16S","Echo198",488,560,"b","z",6,"1-H","C",2009,"6/14/2012",NA
"C6t",2012,"16S","Echo197",488,558,"t","z",6,"1-H","C",2009,"6/14/2012",NA
"C7b",2012,"16S","Bravo54",584,671,"b","z",7,"2-F","C",2009,"6/12/2012",NA
"C7t",2012,"16S","Bravo53",584,670,"t","z",7,"2-F","C",2009,"6/12/2012",NA
"C8b",2012,"16S","Foxtrot246",680,779,"b","z",8,"1-K","C",2009,"6/11/2012",NA
"C8t",2012,"16S","Foxtrot245",680,778,"t","z",8,"1-K","C",2009,"6/11/2012",NA
"D1b",2012,"16S","Charlie104",11,14,"b","z",1,"4-D","D",2009,"6/5/2012",NA
"D1t",2012,"16S","Charlie103",11,12,"t","z",1,"4-D","D",2009,"6/5/2012",NA
"D2b",2012,"16S","Golf296",107,123,"b","z",2,"2-F","D",2009,"6/8/2012",NA
"D2t",2012,"16S","Golf295",107,121,"t","z",2,"2-F","D",2009,"6/8/2012",NA
"D3b",2012,"16S","Delta152",203,234,"b","z",3,"1-A","D",2009,"6/19/2012",NA
"D3t",2012,"16S","Delta151",203,232,"t","z",3,"1-A","D",2009,"6/19/2012",NA
"D4b",2012,"16S","Hotel344",299,344,"b","z",4,"1-E","D",2009,"6/20/2012",NA
