"plot","symbol","logtrt","yrdeploy","yrharv","pullDate","bag","logid"
1,"1-1-L","A","2009",2010,"unknown",NA,1
1,"1-1-K","A","2009",2012,"6/6/2012",NA,2
1,"4-G","A","2009",2014,"6/3/2014",NA,3
1,"4-M","B","2009",2010,"unknown",NA,4
1,"4-C","B","2009",2012,"6/6/2012",NA,5
1,"3-D","B","2009",2014,"6/3/2014",NA,6
1,"1-E","C","2009",2010,"unknown",NA,7
1,"3-I","C","2009",2012,"6/5/2012",NA,8
1,"2-G","C","2009",2014,"6/3/2014",NA,9
1,"1-F","D","2009",2010,"unknown",NA,10
1,"4-D","D","2009",2012,"6/5/2012",NA,11
1,"2-D","D","2009",2014,"6/3/2014",NA,12
1,"1-I","E","2009",2010,"unknown",NA,13
1,"1-F","E","2009",2012,"6/6/2012",NA,14
1,"2-B","E","2009",2014,"6/3/2014",NA,15
1,"2-D","F","2009",2010,"unknown",NA,16
1,"3-J","F","2009",2012,"6/5/2012",NA,17
1,"2-B","F","2009",2014,"6/3/2014",NA,18
1,"2-O","G","2011",2012,"6/6/2012",NA,19
1,"2-N","G","2011",2014,"6/3/2014","b",20
1,"3-O","G","2011",2014,"6/2/2014",NA,21
1,"1-E","H","2009",2010,"unknown",NA,22
1,"1-I","H","2009",2012,"6/6/2012",NA,23
1,"3-D","H","2009",2014,"6/3/2014",NA,24
1,"3-D","I","2009",2010,"unknown",NA,25
1,"3-L","I","2009",2012,"6/5/2012",NA,26
1,"2-H","I","2009",2014,"6/3/2014",NA,27
1,"2-M","J","2011",2012,"6/6/2012",NA,28
1,"3-C","J","2011",2014,"6/3/2014","b",29
1,"1-G","J","2011",2014,"6/2/2014",NA,30
1,"1-F","K","2009",2010,"unknown",NA,31
1,"4-B","K","2009",2012,"6/7/2012",NA,32
1,"4-K","K","2009",2014,"6/3/2014",NA,33
1,"1-H","L","2011",2012,"6/6/2012",NA,34
1,"1-Q","L","2011",2014,"6/3/2014","b",35
1,"2-I","L","2011",2014,"6/2/2014",NA,36
1,"1-I","M","2009",2010,"unknown",NA,37
1,"4-B","M","2009",2012,"6/6/2012",NA,38
1,"4-G","M","2009",2014,"6/3/2014",NA,39
1,"5-D","N","2011",2012,"6/7/2012",NA,40
1,"4-B","N","2011",2014,"6/3/2014","b",41
1,"4-G","N","2011",2014,"6/2/2014",NA,42
1,"10-D","O","2011",2012,"6/7/2012",NA,43
1,"6-C","O","2011",2014,"6/3/2014","b",44
1,"4-C","O","2011",2014,"6/2/2014",NA,45
1,"3-F","P","2011",2012,"6/7/2012",NA,46
1,"2-L","P","2011",2014,"6/3/2014","b",47
1,"1-C","P","2011",2014,"6/2/2014",NA,48
1,"2-D","plank_1","2009",2010,"unknown",NA,49
1,"1-G","plank_1","2009",2012,"6/5/2012",NA,50
1,"none","plank_1","2009",2014,"unknown",NA,51
1,"2-F","plank_2","2009",2010,"unknown",NA,52
1,"2-J","plank_2","2009",2012,"6/5/2012",NA,53
1,"none","plank_2","2009",2014,"unknown",NA,54
1,"2-D","plank_3","2009",2010,"unknown",NA,55
1,"3-F","plank_3","2009",2012,"6/5/2012",NA,56
1,"none","plank_3","2009",2014,"unknown",NA,57
1,"1-B","plank_4","2009",2010,"unknown",NA,58
1,"4-G","plank_4","2009",2012,"6/5/2012",NA,59
1,"none","plank_4","2009",2014,"unknown",NA,60
1,"3-E","plank_5","2009",2010,"unknown",NA,61
1,"1-B","plank_5","2009",2012,"6/5/2012",NA,62
1,"none","plank_5","2009",2014,"unknown",NA,63
1,"4-B","plank_6","2009",2010,"unknown",NA,64
1,"4-A","plank_6","2009",2012,"6/5/2012",NA,65
1,"none","plank_6","2009",2014,"unknown",NA,66
1,"1-B","plank_7","2009",2010,"unknown",NA,67
1,"3-G","plank_7","2009",2012,"6/5/2012",NA,68
1,"none","plank_7","2009",2014,"unknown",NA,69
1,"3-C","plank_8","2009",2010,"unknown",NA,70
