"logtrt","species","species4","yrdeploy"
"A","ACRU","ACRU","2009"
"B","AEGL","AEGL","2009"
"C","AMAR","AMAR","2009"
"D","ASTR","ASTR","2009"
"E","CATO","CATO","2009"
"F","CEOC","CEOC","2009"
"G","CEOC2","CEOC","2011"
"H","COFL","COFL","2009"
"I","DIVI","DIVI","2009"
"J","FRAM","FRAM","2011"
"K","GLTR","GLTR","2009"
"L","JUNI","JUNI","2011"
"M","JUVI","JUVI","2009"
"N","JUVI2","JUVI","2011"
"O","LOMA","LOMA","2011"
"P","PIEC","PIEC","2011"
"Q","PIST","PIST","2009"
"R","PLOC","PLOC","2009"
"S","PRSE/PRVI","PRSE/PRVI","2009"
"T","QUAL","QUAL","2011"
"U","QUVE","QUVE","2009"
"V","QUVE2","QUVE","2011"
"W","ULRU","ULRU","2009"
"X","VIVU","VIVU","2009"
"plank_1","CEDA","CEDA","2009"
"plank_2","CHRY","CHRY","2009"
"plank_3","HDMP","HDMP","2009"
"plank_4","HICK","HICK","2009"
"plank_5","PINE","PINE","2009"
"plank_6","ROAK","ROAK","2009"
"plank_7","ROSE","ROSE","2009"
"plank_8","ZEBRA","ZEBRA","2009"
