"logmicrobid","logid","logLoc","rep_code","sampleName"
1,2,"t","z","A1t"
3,2,"b","z","A1b"
2,3,"t",NA,"A1t"
4,3,"b",NA,"A1b"
109,98,"t","z","A2t"
111,98,"b","z","A2b"
110,99,"t",NA,"A2t"
112,99,"b",NA,"A2b"
220,194,"t","z","A3t"
222,194,"b","z","A3b"
221,195,"t",NA,"A3t"
223,195,"b",NA,"A3b"
330,290,"t","z","A4t"
332,290,"b","z","A4b"
331,291,"t",NA,"A4t"
333,291,"b",NA,"A4b"
441,386,"t","z","A5t"
443,386,"b","z","A5b"
442,387,"t",NA,"A5t"
444,387,"b",NA,"A5b"
550,482,"t","z","A6t"
552,482,"b","z","A6b"
551,483,"t",NA,"A6t"
553,483,"b",NA,"A6b"
662,578,"t","z","A7t"
664,578,"b","z","A7b"
663,579,"t",NA,"A7t"
665,579,"b",NA,"A7b"
770,674,"t","z","A8t"
772,674,"b","z","A8b"
771,675,"t",NA,"A8t"
773,675,"b",NA,"A8b"
5,5,"t","z","B1t"
7,5,"b","z","B1b"
6,6,"t",NA,"B1t"
8,6,"b",NA,"B1b"
113,101,"t","z","B2t"
115,101,"b","z","B2b"
114,102,"t",NA,"B2t"
116,102,"b",NA,"B2b"
224,197,"t","z","B3t"
226,197,"b","z","B3b"
225,198,"t",NA,"B3t"
227,198,"b",NA,"B3b"
334,293,"t","z","B4t"
336,293,"b","z","B4b"
335,294,"t",NA,"B4t"
337,294,"b",NA,"B4b"
445,389,"t","z","B5t"
447,389,"b","z","B5b"
446,390,"t",NA,"B5t"
448,390,"b",NA,"B5b"
554,485,"t","z","B6t"
556,485,"b","z","B6b"
555,486,"t",NA,"B6t"
557,486,"b",NA,"B6b"
666,581,"t","z","B7t"
668,581,"b","z","B7b"
667,582,"t",NA,"B7t"
669,582,"b",NA,"B7b"
774,677,"t","z","B8t"
776,677,"b","z","B8b"
775,678,"t",NA,"B8t"
777,678,"b",NA,"B8b"
9,8,"t","z","C1t"
10,8,"b","z","C1b"
11,9,"mush",NA,"C1_"
117,104,"t","z","C2t"
119,104,"b","z","C2b"
118,105,"t",NA,"C2t"
120,105,"b",NA,"C2b"
228,200,"t","z","C3t"
230,200,"b","z","C3b"
229,201,"t",NA,"C3t"
231,201,"b",NA,"C3b"
338,296,"t","z","C4t"
340,296,"b","z","C4b"
339,297,"t",NA,"C4t"
341,297,"b",NA,"C4b"
449,392,"t","z","C5t"
451,392,"b","z","C5b"
450,393,"t",NA,"C5t"
452,393,"b",NA,"C5b"
558,488,"t","z","C6t"
560,488,"b","z","C6b"
559,489,"t",NA,"C6t"
561,489,"b",NA,"C6b"
670,584,"t","z","C7t"
671,584,"b","z","C7b"
672,585,"mush",NA,"C7_"
778,680,"t","z","C8t"
779,680,"b","z","C8b"
780,681,"mush",NA,"C8_"
12,11,"t","z","D1t"
14,11,"b","z","D1b"
13,12,"t",NA,"D1t"
15,12,"b",NA,"D1b"
121,107,"t","z","D2t"
123,107,"b","z","D2b"
122,108,"t",NA,"D2t"
124,108,"b",NA,"D2b"
232,203,"t","z","D3t"
234,203,"b","z","D3b"
233,204,"t",NA,"D3t"
235,204,"b",NA,"D3b"
342,299,"t","z","D4t"
344,299,"b","z","D4b"
343,300,"t",NA,"D4t"
345,300,"b",NA,"D4b"
453,395,"t","z","D5t"
455,395,"b","z","D5b"
454,396,"t",NA,"D5t"
456,396,"b",NA,"D5b"
562,491,"t","z","D6t"
564,491,"b","z","D6b"
563,492,"t",NA,"D6t"
565,492,"b",NA,"D6b"
673,587,"t","z","D7t"
675,587,"b","z","D7b"
674,588,"t",NA,"D7t"
676,588,"b",NA,"D7b"
781,683,"t","z","D8t"
783,683,"b","z","D8b"
782,684,"t",NA,"D8t"
784,684,"b",NA,"D8b"
16,14,"t","z","E1t"
18,14,"b","z","E1b"
17,15,"t",NA,"E1t"
19,15,"b",NA,"E1b"
125,110,"t","z","E2t"
127,110,"b","z","E2b"
126,111,"t",NA,"E2t"
128,111,"b",NA,"E2b"
236,206,"t","z","E3t"
238,206,"b","z","E3b"
237,207,"t",NA,"E3t"
239,207,"b",NA,"E3b"
346,302,"t","z","E4t"
348,302,"b","z","E4b"
347,303,"t",NA,"E4t"
349,303,"b",NA,"E4b"
457,398,"t","z","E5t"
459,398,"b","z","E5b"
458,399,"t",NA,"E5t"
460,399,"b",NA,"E5b"
566,494,"t","z","E6t"
568,494,"b","z","E6b"
567,495,"t",NA,"E6t"
569,495,"b",NA,"E6b"
677,590,"t","z","E7t"
679,590,"b","z","E7b"
678,591,"t",NA,"E7t"
680,591,"b",NA,"E7b"
785,686,"t","z","E8t"
787,686,"b","z","E8b"
786,687,"t",NA,"E8t"
788,687,"b",NA,"E8b"
20,17,"t","z","F1t"
22,17,"b","z","F1b"
21,18,"t",NA,"F1t"
23,18,"b",NA,"F1b"
129,113,"t","z","F2t"
131,113,"b","z","F2b"
130,114,"t",NA,"F2t"
132,114,"b",NA,"F2b"
240,209,"t","z","F3t"
242,209,"b","z","F3b"
241,210,"t",NA,"F3t"
243,210,"b",NA,"F3b"
350,305,"t","z","F4t"
352,305,"b","z","F4b"
351,306,"t",NA,"F4t"
353,306,"b",NA,"F4b"
461,401,"t","z","F5t"
