"OTUid"	"percConfid"	"genusSpecies"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"OTU_1"	1	"Streptophyta"	"Bacteria"	"Cyanobacteria/Chloroplast"	"Chloroplast"	"Chloroplast"	"Chloroplast"	"Streptophyta"	"unidentified"
"OTU_10"	1	"Terriglobus"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp1"	"Terriglobus"	"unidentified"	"unidentified"	"unidentified"
"OTU_100"	0.98	"Streptomyces"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"unidentified"
"OTU_1000"	0.21	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_10000"	0.56	"Granulibacter"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Granulibacter"	"unidentified"
"OTU_10001"	0.6	"Ktedonobacter"	"Bacteria"	"Chloroflexi"	"Ktedonobacteria"	"Ktedonobacterales"	"Ktedonobacteraceae"	"Ktedonobacter"	"unidentified"
"OTU_10002"	0.87	"Bdellovibrio"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	"unidentified"
"OTU_10003"	0.89	"Sphingomonas"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"unidentified"
"OTU_10004"	0.05	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_10005"	1	"Hymenobacter"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Hymenobacter"	"unidentified"
"OTU_10006"	1	"Gemmatimonas"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"	"unidentified"
"OTU_10007"	1	"Aquicella"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Aquicella"	"unidentified"
"OTU_10008"	0.87	"Phyllobacterium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Phyllobacterium"	"unidentified"
"OTU_10009"	0.06	"unidentified"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1001"	1	"Methylobacterium"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Methylobacterium"	"unidentified"
"OTU_10010"	0.86	"Sporobacter"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Sporobacter"	"unidentified"
"OTU_10011"	0.37	"unidentified"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"unidentified"	"unidentified"
"OTU_10012"	0.43	"unidentified"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Ectothiorhodospiraceae"	"unidentified"	"unidentified"
"OTU_10013"	0.16	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_10014"	0.24	"unidentified"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_10015"	0.51	"Verrucomicrobium"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Verrucomicrobium"	"unidentified"
"OTU_10016"	0.41	"unidentified"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"unidentified"	"unidentified"
"OTU_10017"	0.7	"Ilumatobacter"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiales"	"Acidimicrobiaceae"	"Ilumatobacter"	"unidentified"
"OTU_10018"	0.3	"unidentified"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cyclobacteriaceae"	"unidentified"	"unidentified"
"OTU_10019"	0.25	"unidentified"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"unidentified"	"unidentified"
"OTU_1002"	0.71	"Beijerinckia"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Beijerinckia"	"unidentified"
